Station,Status,Lat,Long,StartDate,EndDate,Height,TrailWidth,DistFeat,Orientation,SDID,KeyID,Notes,Area
NREP001,Retrieved,47.50902,-121.845046,2022-06-02,2022-07-13,0.9,4.88,4.17,NE,1-3b,368,,Rattlesnake
NREP002,Retrieved,47.499398,-121.839142,2022-06-02,2022-07-13,1.15,3.73,3.56,NE,2-3a,368,,Rattlesnake
NREP003,Inactive,47.544124,-121.947846,2022-06-02,2022-06-10,0.86,1.07,2.99,SE,4-3b,368,Accidentally deployed on King County Property - Removed ASAP,Mitchell Hill
NREP004,Retrieved,47.542331,-121.908157,2022-06-02,2022-07-13,1.06,3.09,3.56,SE,2-1a,368,,Preston-Snoqualmie
NREP005,Inactive,47.603891,-121.901476,2022-06-02,2022-06-10,1.91,6.21,3.36,W,2-4b,368,Accidentally deployed on King County Property - Removed ASAP,Fall City
NREP006,Retrieved,47.491413,-121.962473,2022-06-02,2022-07-13,0.88,4.02,3.51,NE,2-3b,368,,Tiger Mtn
NREP007,Retrieved,47.475913,-121.964867,2022-06-02,2022-08-01,1.54,2.97,5.11,E,2-2b,368,,Tiger Mtn
NREP008,Inactive,47.460708,-121.937754,2022-06-02,2022-06-10,1.15,5.21,3.29,SW,2-1b,368,Accidentally deployed on King County Property - Removed ASAP,Taylor Mtn
NREP009,Inactive,47.423998,-121.941479,2022-06-03,2022-06-10,0.8,3.97,3.17,NE,2-2a,368,Accidentally deployed on King County Property - Removed ASAP,Taylor Mtn
NREP010,Inactive,47.437091,-121.9434,2022-06-03,2022-06-10,NA,3.33,2.95,NE,2-4a,368,Accidentally deployed on King County Property - Removed ASAP,Taylor Mtn
NREP011,Retrieved,47.523859,-121.983164,2022-06-15,2022-08-01,1.2,2.4,3.62,NE,3-4b,374,,Tiger Mtn
NREP012,Inactive,47.431668,-121.959651,2022-06-03,2022-06-10,NA,1.51,4.12,NA,3-3b,368,Accidentally deployed on King County Property - Removed ASAP,Taylor Mtn
NREP013,Retrieved,47.482593,-121.88503,2022-06-10,2022-07-22,1.07,3.89,3.41,SE,3-1a,368,,Taylor Mtn
NREP014,Retrieved,47.469024,-121.874511,2022-06-10,2022-07-22,1.16,7.07,4.84,NW,1-4b,368,,Taylor Mtn
NREP015,Retrieved,47.463509,-121.811997,2022-06-10,2022-07-22,0.91,3.7,3.47,NE,1-1a,368,,Rattlesnake
NREP016,Retrieved,47.445764,-121.853377,2022-06-10,2022-07-22,1.07,3.77,2.75,E,1-4a,368,,Taylor Mtn
